Gene A	Gene B	Interaction Methods
EPB41	RAB5C	anti bait coimmunoprecipitation
EPB41	RAB8A	anti bait coimmunoprecipitation
EPB41	RANBP1	anti bait coimmunoprecipitation
EPB41	RPL38	anti bait coimmunoprecipitation
EPB41	RPS21	anti bait coimmunoprecipitation
EPB41	RPS3A	anti bait coimmunoprecipitation
EPB41	S100A11	anti bait coimmunoprecipitation
EPB41	SAR1A	anti bait coimmunoprecipitation
EPB41	SCN2A	affinity chromatography technology
EPB41	SCP2	anti bait coimmunoprecipitation
EPB41	SEC14L1	two hybrid
EPB41	SLC4A1	in vitro
EPB41	SLIRP	anti bait coimmunoprecipitation
EPB41	SMAD3	in vitro
EPB41	SNRNP200	anti bait coimmunoprecipitation
EPB41	SNX3	anti bait coimmunoprecipitation
EPB41	SPTAN1	in vitro
EPB41	SPTB	in vivo
EPB41	SPTBN1	in vitro
EPB41	SPTBN4	affinity chromatography technology
EPB41	SRP9	anti bait coimmunoprecipitation
EPB41	STIP1	anti bait coimmunoprecipitation
EPB41	TAGLN2	anti bait coimmunoprecipitation
EPB41	TCEB1	anti bait coimmunoprecipitation
EPB41	TIAM1	affinity chromatography technology
EPB41	TIMM13	anti bait coimmunoprecipitation
EPB41	TJP2	in vitro
EPB41	TMEM33	anti bait coimmunoprecipitation
EPB41	TPM1	in vitro
EPB41	TPM2	anti bait coimmunoprecipitation
EPB41	TPT1	anti bait coimmunoprecipitation
EPB41	TRMT112	anti bait coimmunoprecipitation
EPB41	TSN	anti bait coimmunoprecipitation
EPB41	TUBA4A	in vivo
EPB41	TUFM	anti bait coimmunoprecipitation
EPB41	TXN	anti bait coimmunoprecipitation
EPB41	TXNDC17	anti bait coimmunoprecipitation
EPB41	U2AF1	in vivo
EPB41	U2AF2	in vivo
EPB41	UBC	affinity chromatography technology
EPB41	UBE2L3	anti bait coimmunoprecipitation
EPB41	UBE2V1	anti bait coimmunoprecipitation
EPB41	VAMP3	anti bait coimmunoprecipitation
EPB41	VARS	anti bait coimmunoprecipitation
EPB41	YWHAB	two hybrid
EPB41	YWHAG	anti bait coimmunoprecipitation
EPB41	YWHAQ	two hybrid
EPB41L1	GRIA1	in vitro
EPB41L1	GRIA4	in vivo
EPB41L1	ITPR1	in vitro
EPB41L1	NUMA1	in vitro
EPB41L1	STARD13	two hybrid
EPB41L1	YWHAB	two hybrid
EPB41L1	YWHAQ	two hybrid
EPB41L1	YWHAZ	two hybrid
EPB41L2	FKBP2	in vivo
EPB41L2	GRIA1	in vitro
EPB41L2	NR3C1	display technology
EPB41L2	NUMA1	in vitro
EPB41L2	SPTAN1	in vivo
EPB41L2	WNK1	pull down
EPB41L2	YWHAB	anti bait coimmunoprecipitation
EPB41L2	YWHAG	pull down
EPB41L2	YWHAH	in vitro
EPB41L2	YWHAQ	anti bait coimmunoprecipitation
EPB41L3	FYN	peptide array
EPB41L3	IGSF21	two hybrid pooling approach|two hybrid
EPB41L3	KIF5C	affinity chromatography technology
EPB41L3	MBIP	two hybrid pooling approach|two hybrid
EPB41L3	NR3C1	display technology
EPB41L3	PRKCZ	affinity chromatography technology
EPB41L3	PSEN1	pull down
EPB41L3	SIRT7	affinity chromatography technology
EPB41L3	SMURF2	affinity chromatography technology
EPB41L3	SMYD2	anti bait coimmunoprecipitation
EPB41L3	SPTBN1	pull down
EPB41L3	SRC	peptide array
EPB41L3	UBC	affinity chromatography technology
EPB41L3	UNC13A	two hybrid
EPB41L3	YWHAB	affinity chromatography technology
EPB41L3	YWHAG	two hybrid
EPB41L3	YWHAH	in vivo
EPB41L3	YWHAQ	anti bait coimmunoprecipitation
EPB41L3	YWHAZ	coimmunoprecipitation
EPB41L4B	LAMC3	two hybrid
EPB41L4B	UBC	affinity chromatography technology
EPB41L5	PRKAB1	anti bait coimmunoprecipitation
EPB41L5	UBC	affinity chromatography technology
EPB42	KRAS	in vitro
EPB42	MAPK14	two hybrid
EPB42	SLC4A1	unspecified method
EPB42	SLC4A2	in vitro
EPB42	SPINK7	two hybrid
EPB42	SPTAN1	pull down
EPB42	STX12	in vitro
EPC1	H2AFZ	affinity chromatography technology
EPC1	ING3	in vivo
EPC1	KAT5	in vivo
EPC1	MORF4L1	affinity chromatography technology
EPC1	MORF4L2	in vivo
EPC1	MRGBP	anti tag coimmunoprecipitation
EPC1	MYC	tandem affinity purification
EPC1	SRF	affinity chromatography technology
EPC1	TRIM27	in vivo
EPC2	ING3	affinity chromatography technology
EPC2	KAT5	in vivo
EPC2	MORF4L1	in vivo
EPC2	MORF4L2	in vivo
EPC2	MRGBP	anti tag coimmunoprecipitation
EPC2	MYC	affinity chromatography technology
EPC2	UBC	affinity chromatography technology
EPCAM	LCN1	two hybrid
EPCAM	PDGFA	two hybrid
EPCAM	UBC	affinity chromatography technology
EPDR1	UBQLN4	two hybrid array|pull down
EPHA1	NPM1	anti bait coimmunoprecipitation
EPHA1	SMURF2	in vivo
EPHA1	UBC	affinity chromatography technology
EPHA2	EPHA7	comigration in sds page
EPHA2	GATAD1	two hybrid
EPHA2	GRB2	in vivo
EPHA2	JAG1	affinity chromatography technology
EPHA2	KPNA3	two hybrid
EPHA2	LSM7	two hybrid
EPHA2	NUDT9	two hybrid
EPHA2	PIK3R1	pull down
EPHA2	PIK3R2	in vivo
EPHA2	PSME2	two hybrid
EPHA2	PTK2	affinity chromatography technology
EPHA2	PTPN11	in vivo
EPHA2	RASA1	in vivo
EPHA2	RBL1	two hybrid
EPHA2	SHC1	in vivo
EPHA2	SLA	two hybrid
EPHA2	TIAM1	in vivo
EPHA2	TNFAIP1	in vivo
EPHA2	UBC	affinity chromatography technology
EPHA3	EPHA3	in vitro
EPHA3	EPHA7	comigration in sds page
EPHA3	PIM1	in vivo
EPHA3	RBM18	two hybrid
EPHA3	RUFY1	coimmunoprecipitation
EPHA3	RUFY2	in vivo
EPHA3	STAT3	in vivo
EPHA3	TP53	in vitro
EPHA4	EPHA4	in vitro
EPHA4	FGFR1	in vivo
EPHA4	FGFR2	in vivo
EPHA4	FGFR3	in vivo
EPHA4	FGFR4	in vivo
EPHA4	FYN	in vivo
EPHA4	FZR1	affinity chromatography technology
EPHA4	IKBKG	pull down
EPHA4	NGEF	affinity chromatography technology
EPHA4	RYK	affinity chromatography technology
EPHA4	UBC	affinity chromatography technology
EPHA4	VHL	affinity chromatography technology
EPHA6	EPHA6	protein kinase assay
EPHA7	EPHA7	in vivo
EPHA7	GNB1	two hybrid
EPHA7	MAP1LC3A	two hybrid
EPHA7	MLLT4	two hybrid
EPHA7	UBC	affinity chromatography technology
EPHA7	ZNF267	two hybrid
EPHA8	EPHA8	in vitro
EPHA8	FYN	in vitro
EPHA8	G3BP1	two hybrid
EPHA8	PIK3CG	in vivo
EPHA8	PSMC5	two hybrid
EPHB1	EPHB1	in vivo
EPHB1	EPHB6	in vivo
EPHB1	GRB10	in vivo
EPHB1	GRB2	two hybrid
EPHB1	GRB7	coimmunoprecipitation
EPHB1	JAG1	affinity chromatography technology
EPHB1	NCK1	two hybrid
EPHB1	PXN	in vivo
EPHB1	UBC	affinity chromatography technology
EPHB2	EPHB2	in vivo
EPHB2	ERF	in vivo
EPHB2	FOS	in vivo
EPHB2	GRB2	in vivo
EPHB2	GRIN1	in vitro
EPHB2	GRIN2B	in vivo
EPHB2	ITSN1	in vivo
EPHB2	KALRN	in vitro
EPHB2	KSR1	in vivo
EPHB2	MAPK14	anti tag coimmunoprecipitation
EPHB2	MLLT4	in vivo
EPHB2	MMP2	in vitro
EPHB2	MMP9	in vitro
EPHB2	NCK1	in vivo
EPHB2	NUP153	anti tag coimmunoprecipitation
EPHB2	PICK1	in vivo
EPHB2	PTK2	in vivo
EPHB2	PTP4A2	anti bait coimmunoprecipitation
EPHB2	RASA1	in vivo
EPHB2	RBL1	anti bait coimmunoprecipitation
EPHB2	RRAS	in vitro
EPHB2	RYK	in vivo
EPHB2	SDC2	in vivo
EPHB2	SDCBP	in vivo
EPHB2	SH2D3C	in vitro
EPHB2	SRC	two hybrid
EPHB2	SYNJ1	in vitro
EPHB2	VAV2	in vitro
EPHB2	VEGFA	in vivo
EPHB3	EPHB3	in vivo
EPHB3	FYN	in vivo
EPHB3	GBE1	two hybrid
EPHB3	LNX1	pull down
EPHB3	MLLT4	two hybrid
EPHB3	NFRKB	two hybrid
EPHB3	NPM1	anti bait coimmunoprecipitation
EPHB3	RASA1	pull down
EPHB3	RYK	in vivo
EPHB4	EPHB6	affinity chromatography technology
EPHB4	GRIN1	in vivo
EPHB4	JUN	display technology
EPHB4	SDC3	in vitro
EPHB4	UBC	affinity chromatography technology
EPHB6	GRB2	in vivo
EPHB6	HDHD2	in vitro
EPHB6	MLLT4	two hybrid
EPHB6	SAT1	two hybrid pooling approach
EPHB6	SMAD2	display technology
EPHX1	FBXW7	two hybrid
EPHX1	HDAC2	affinity chromatography technology
EPHX1	LMO3	two hybrid
EPHX1	MAPK14	protein complementation assay
EPHX1	MAPK6	two hybrid
EPHX1	MAPKAPK2	protein complementation assay
EPHX1	MAPKAPK3	two hybrid
EPHX1	MCM2	two hybrid
EPHX1	MCRS1	two hybrid
EPHX1	PCGF2	affinity chromatography technology
EPHX1	PHC1	two hybrid
EPHX1	PHC3	affinity chromatography technology
EPHX1	RING1	affinity chromatography technology
EPHX1	RNF2	two hybrid
EPHX1	RPL7	two hybrid
EPHX1	SCMH1	two hybrid
EPHX1	SCML2	affinity chromatography technology
EPHX1	SFMBT1	two hybrid
EPHX1	SIAH1	affinity chromatography technology
EPHX1	TAB1	two hybrid
EPHX1	UBC	affinity chromatography technology
EPHX2	MVP	two hybrid
EPHX2	NIPSNAP3A	two hybrid
EPHX2	S100A9	two hybrid
EPM2A	EPM2AIP1	in vivo
EPM2A	GSK3B	two hybrid
EPM2A	GYS1	two hybrid
EPM2A	HSPA5	imaging technique
EPM2A	NFU1	in vivo
EPM2A	NHLRC1	affinity chromatography technology
EPM2A	PPP1R3C	two hybrid
EPM2A	PRKAA1	enzymatic study
EPM2A	PRKAA2	two hybrid
EPM2A	PRKAB2	two hybrid
EPM2A	STUB1	affinity chromatography technology
EPM2A	UBC	imaging technique
EPM2A	UBE2D1	imaging technique
EPM2AIP1	UBC	affinity chromatography technology
EPN1	EPN3	imaging technique
EPN1	EPS15	in vivo
EPN1	EPS15L1	affinity chromatography technology
EPN1	GTF3A	two hybrid
EPN1	KIAA1377	in vitro
EPN1	LAPTM5	two hybrid
EPN1	MED31	two hybrid pooling approach
EPN1	NOTCH1	affinity chromatography technology
EPN1	OCLN	affinity chromatography technology
EPN1	PSMD4	enzymatic study
EPN1	RALBP1	in vivo
EPN1	REPS2	in vivo
EPN1	RNF11	two hybrid
EPN1	SCN9A	affinity chromatography technology
EPN1	SCNN1A	affinity chromatography technology
EPN1	SCNN1B	affinity chromatography technology
EPN1	SCNN1G	affinity chromatography technology
EPN1	SLC6A3	affinity chromatography technology
EPN1	TFAP2A	affinity chromatography technology
EPN1	UBC	affinity chromatography technology
EPN1	UBQLN2	affinity chromatography technology
EPN1	ZBTB16	in vivo
EPN2	EPS15	in vivo
EPN2	ITSN1	two hybrid
EPN2	LAPTM5	two hybrid
EPN2	RNF11	two hybrid
EPN2	TFAP2A	in vivo
EPN2	TUBA1B	in vitro
EPN2	UBC	affinity chromatography technology
EPN2	UBQLN2	affinity chromatography technology
EPN2	YWHAG	in vivo
EPN3	LAPTM5	two hybrid
EPN3	RNF11	two hybrid
EPN3	UBC	affinity chromatography technology
EPO	EPOR	x-ray crystallography
EPOR	EPOR	fluorescence correlation spectroscopy
EPOR	GAB1	in vivo
EPOR	GAB2	in vivo
EPOR	GNAI1	pull down
EPOR	GNB2L1	in vitro
EPOR	GRAP	pull down
EPOR	GRB2	pull down
EPOR	INPP5D	mammalian protein protein interaction trap
EPOR	IRS2	affinity chromatography technology
EPOR	JAK2	affinity chromatography technology
EPOR	KIT	in vivo
EPOR	KITLG	in vivo
EPOR	KLK3	in vivo
EPOR	LYN	in vitro
EPOR	MAPK1	in vivo
EPOR	MAPK3	in vivo
EPOR	MST1R	in vivo
EPOR	NOSIP	affinity chromatography technology
EPOR	PIK3R1	in vivo
EPOR	PLCG1	protein complementation assay
EPOR	PLCG2	mammalian protein protein interaction trap
EPOR	PTPN1	pull down
EPOR	PTPN11	affinity chromatography technology
EPOR	PTPN6	pull down
EPOR	PTPRB	phosphatase assay
EPOR	PTPRC	phosphatase assay
EPOR	PTPRG	phosphatase assay
EPOR	PTPRJ	phosphatase assay
EPOR	PTPRO	phosphatase assay
EPOR	SH2B2	in vivo
EPOR	SHC1	in vitro
EPOR	SOCS2	mammalian protein protein interaction trap
EPOR	SOCS3	affinity chromatography technology
EPOR	STAT5A	protein complementation assay
EPOR	STAT5B	in vivo
EPOR	SYK	in vivo
EPOR	SYP	pull down
EPOR	UBC	affinity chromatography technology
EPOR	VAV1	affinity chromatography technology
EPPK1	GABARAPL2	anti bait coimmunoprecipitation
EPPK1	GRB2	pull down
EPPK1	GSTK1	affinity chromatography technology
EPPK1	IKBKG	anti tag coimmunoprecipitation
EPPK1	INPP5K	anti bait coimmunoprecipitation
EPPK1	ISG15	affinity chromatography technology
EPPK1	KIAA0101	affinity chromatography technology
EPPK1	MAP3K1	anti tag coimmunoprecipitation
EPPK1	MAP3K3	anti tag coimmunoprecipitation
EPPK1	MAP3K8	anti tag coimmunoprecipitation
EPPK1	MYC	anti bait coimmunoprecipitation
EPPK1	NFKB2	anti tag coimmunoprecipitation
EPPK1	NME2	anti bait coimmunoprecipitation
EPPK1	PHB2	affinity chromatography technology
EPPK1	PINX1	anti bait coimmunoprecipitation
EPPK1	PTP4A3	anti bait coimmunoprecipitation
EPPK1	RASGRF2	affinity chromatography technology
EPPK1	SIRT7	affinity chromatography technology
EPPK1	SRRM2	affinity chromatography technology
EPPK1	SUMO2	affinity chromatography technology
EPPK1	TNFRSF1A	anti tag coimmunoprecipitation
EPPK1	TNFRSF1B	anti tag coimmunoprecipitation
EPPK1	TRAF6	affinity chromatography technology
EPPK1	TRDMT1	anti bait coimmunoprecipitation
EPPK1	TSC22D1	anti bait coimmunoprecipitation
EPPK1	UBC	affinity chromatography technology
EPPK1	UCHL5	affinity chromatography technology
EPPK1	WRAP73	anti bait coimmunoprecipitation
EPR1	F2RL1	anti bait coimmunoprecipitation
EPRS	ETS1	display technology
EPRS	HDAC5	affinity chromatography technology
EPRS	HSP90AA1	in vitro
EPRS	IARS	in vitro
EPRS	IKBKB	anti tag coimmunoprecipitation
EPRS	IKBKE	affinity chromatography technology
EPRS	KARS	in vitro
EPRS	KIAA0101	affinity chromatography technology
EPRS	MAP3K14	anti tag coimmunoprecipitation
EPRS	MAP3K7	anti tag coimmunoprecipitation
EPRS	MCC	anti bait coimmunoprecipitation
EPRS	NEDD4	affinity chromatography technology
EPRS	NELFCD	two hybrid pooling approach
EPRS	NFKB2	anti tag coimmunoprecipitation
EPRS	NFKBIB	anti tag coimmunoprecipitation
EPRS	NFKBIE	anti tag coimmunoprecipitation
EPRS	POU2F1	two hybrid
EPRS	RARS	in vitro
EPRS	RELA	anti tag coimmunoprecipitation
EPRS	RELB	anti tag coimmunoprecipitation
EPRS	RIPK3	anti tag coimmunoprecipitation
EPRS	SUMO2	affinity chromatography technology
EPRS	SYNCRIP	anti bait coimmunoprecipitation
EPRS	TAB1	two hybrid
EPRS	TFE3	anti bait coimmunoprecipitation
EPRS	UBC	affinity chromatography technology
EPRS	YWHAZ	pull down
EPS15	ERBB2	anti bait coimmunoprecipitation
EPS15	FCHO2	pull down
EPS15	FYN	peptide array
EPS15	GRB2	pull down
EPS15	HGS	in vivo
EPS15	ITSN1	in vivo
EPS15	KPNB1	anti bait coimmunoprecipitation
EPS15	LAPTM5	two hybrid
EPS15	MDM2	display technology
EPS15	MOB4	in vitro
EPS15	NAGPA	in vitro
EPS15	NCK1	pull down
EPS15	NEDD4	in vivo
EPS15	NUMB	coimmunoprecipitation
EPS15	NUMBL	in vivo
EPS15	REPS2	in vitro
EPS15	RNF11	in vivo
EPS15	SH3BP4	anti bait coimmunoprecipitation
EPS15	SNAP91	in vitro
EPS15	SPG20	in vitro
EPS15	STAM2	in vivo
EPS15	STAMBP	in vivo
EPS15	STON2	fluorescence microscopy
EPS15	SYNJ1	in vitro
EPS15	UBA52	in vitro
EPS15	UBQLN1	in vivo
EPS15L1	ITSN1	two hybrid
EPS15L1	ITSN2	two hybrid
EPS15L1	PRKCDBP	fluorescence microscopy
EPS15L1	STON2	fluorescence microscopy
EPS15L1	UBC	enzymatic study
EPS15L1	UBQLN1	two hybrid
EPS8	GULP1	two hybrid
EPS8	HOOK2	two hybrid
EPS8	ITGB1	in vivo
EPS8	ITGB2	pull down
EPS8	ITGB3	in vivo
EPS8	ITGB5	in vivo
EPS8	ITGB7	pull down
EPS8	MAP1LC3B	two hybrid
EPS8	MAP3K11	two hybrid
EPS8	MRPL20	two hybrid
EPS8	MYO15A	two hybrid pooling approach
EPS8	NACC2	two hybrid
EPS8	NFKB2	two hybrid
EPS8	PCM1	two hybrid pooling approach
EPS8	PROSER2	two hybrid
EPS8	RFXAP	two hybrid
EPS8	SCN9A	affinity chromatography technology
EPS8	SCRN3	two hybrid
EPS8	SF3B3	two hybrid
EPS8	SHB	in vitro
EPS8	SHC1	in vitro
EPS8	SLC27A4	two hybrid
EPS8	SOS1	in vivo
EPS8	SRC	enzymatic study
EPS8	TDP2	two hybrid
EPS8	TEX28P2	two hybrid
EPS8	TPRN	two hybrid
EPS8	UBC	affinity chromatography technology
EPS8	USP6NL	experimental interaction detection
EPS8	XRCC6	two hybrid
EPS8	ZZZ3	two hybrid
EPS8L1	SOS1	affinity chromatography technology
EPS8L1	TERF2IP	two hybrid
EPS8L2	PTK2	two hybrid
EPS8L2	RPL23	two hybrid
EPS8L2	SOS1	in vivo
EPS8L3	FASLG	unspecified method
EPT1	EWSR1	two hybrid pooling approach|two hybrid
EPT1	PPAT	two hybrid
EPT1	UBC	affinity chromatography technology
EPX	NCK1	peptide array
EPX	PIK3R1	peptide array
EPX	PLCG1	peptide array
ERAL1	ICT1	affinity chromatography technology
ERAL1	TCF3	affinity chromatography technology
ERAL1	UBC	affinity chromatography technology
ERAP1	IL6R	in vivo
ERAP1	TNFRSF1A	two hybrid
ERAP1	UBC	affinity chromatography technology
ERAS	PIK3CD	in vivo
ERAS	PIK3CG	affinity chromatography technology
ERAS	PIK3R1	in vivo
ERAS	RAF1	affinity chromatography technology
ERBB2	ERBB2	fluorescent resonance energy transfer
ERBB2	ERBB2IP	in vivo
ERBB2	ERBB3	in vivo
ERBB2	ERBB4	anti bait coimmunoprecipitation
ERBB2	ERRFI1	in vitro
ERBB2	ESR1	in vivo
ERBB2	FER	protein array
ERBB2	FGR	protein array
ERBB2	GRAP2	protein array
ERBB2	GRB2	protein array
ERBB2	GRB7	nuclear magnetic resonance
ERBB2	H2AFY	pull down
ERBB2	HDAC6	ubiquitin reconstruction
ERBB2	HLA-A	in vitro
ERBB2	HSP90AA1	in vivo
ERBB2	HSP90B1	in vitro
ERBB2	IL6ST	in vivo
ERBB2	IQGAP1	pull down
ERBB2	IRS1	protein array
ERBB2	IRS4	protein array
ERBB2	ITGA5	in vivo
ERBB2	ITGB4	in vitro
ERBB2	ITK	protein array
ERBB2	JAK1	protein array
ERBB2	JAK2	in vivo
ERBB2	JUP	in vivo
ERBB2	KPNB1	anti bait coimmunoprecipitation
ERBB2	MAPK8IP1	protein array
ERBB2	MAPK8IP2	protein array
ERBB2	MATK	in vivo
ERBB2	MUC1	in vivo
ERBB2	MUC4	in vivo
ERBB2	NCK2	protein array
ERBB2	NF2	in vivo
ERBB2	NRG1	comigration in non denaturing gel electrophoresis
ERBB2	PAK1	in vivo
ERBB2	PICK1	in vivo
ERBB2	PIK3C2A	anti bait coimmunoprecipitation
ERBB2	PIK3C2B	anti bait coimmunoprecipitation
ERBB2	PIK3R1	protein kinase assay
ERBB2	PIK3R2	protein array
ERBB2	PIK3R3	protein array
ERBB2	PLCG1	protein array
ERBB2	PLCG2	protein array
ERBB2	POLR1A	anti bait coimmunoprecipitation
ERBB2	PTK2	coimmunoprecipitation
ERBB2	PTK2B	in vivo
ERBB2	PTK6	anti bait coimmunoprecipitation
ERBB2	PTPN11	protein array
ERBB2	PTPN18	in vitro
ERBB2	PTPN22	phosphatase assay
ERBB2	PTPN3	phosphatase assay
ERBB2	PTPRB	phosphatase assay
ERBB2	PTPRC	phosphatase assay
ERBB2	PTPRG	phosphatase assay
ERBB2	PTPRJ	phosphatase assay
ERBB2	PTPRK	phosphatase assay
ERBB2	PTPRO	phosphatase assay
ERBB2	PTPRZ1	phosphatase assay
ERBB2	RANBP2	anti bait coimmunoprecipitation
ERBB2	RASA1	protein array
ERBB2	RIN1	protein array
ERBB2	RIN2	protein array
ERBB2	RPS27A	anti bait coimmunoprecipitation
ERBB2	SERPINA3	in vivo
ERBB2	SH2B2	protein array
ERBB2	SH2B3	protein array
ERBB2	SH2D1B	protein array
ERBB2	SH2D2A	protein array
ERBB2	SH2D3A	protein array
ERBB2	SH2D5	protein array
ERBB2	SH3BGRL3	in vivo
ERBB2	SH3BP2	protein array
ERBB2	SHC1	protein kinase assay
ERBB2	SHC2	protein array
ERBB2	SHC3	protein array
ERBB2	SLA	protein array
ERBB2	SLA2	protein array
ERBB2	SOCS1	protein array
ERBB2	SOS1	in vivo
ERBB2	SRC	coimmunoprecipitation
ERBB2	STAT1	protein array
ERBB2	STAT3	anti bait coimmunoprecipitation
ERBB2	STUB1	in vivo
ERBB2	SUPT6H	protein array
ERBB2	SYK	protein array
ERBB2	TEC	protein array
ERBB2	TENC1	protein array
ERBB2	TGFA	in vivo
ERBB2	TLN1	protein array
ERBB2	TNS3	protein array
ERBB2	TOB1	in vivo
ERBB2	TXK	protein array
ERBB2	UBA52	in vivo
ERBB2	VAV1	protein array
ERBB2	VAV2	protein array
ERBB2	VAV3	protein array
ERBB2	XPO1	anti bait coimmunoprecipitation
ERBB2IP	GRIN2B	pull down
ERBB2IP	GRIN2C	pull down
ERBB2IP	ITGB4	in vitro
ERBB2IP	KCNA4	pull down
ERBB2IP	LMO2	two hybrid
ERBB2IP	LRRC1	in vitro
ERBB2IP	NOD2	in vivo
ERBB2IP	PDZD2	affinity chromatography technology
ERBB2IP	PICK1	pull down
ERBB2IP	PKP4	pull down
ERBB2IP	RAF1	in vivo
ERBB2IP	RPAP1	enzymatic study
ERBB2IP	SHOC2	in vivo
ERBB2IP	SIRT1	affinity chromatography technology
ERBB2IP	SIRT3	affinity chromatography technology
ERBB2IP	SIRT5	affinity chromatography technology
ERBB2IP	SMAD1	in vitro
ERBB2IP	SMAD2	in vitro
ERBB2IP	SMAD3	tandem affinity purification
ERBB2IP	SMAD4	two hybrid
ERBB2IP	SMAD7	in vitro
ERBB2IP	STAT3	two hybrid
ERBB2IP	UBC	affinity chromatography technology
ERBB2IP	ZFYVE9	two hybrid
ERBB3	ERBB3	nuclear magnetic resonance
ERBB3	ERBB4	in vivo
ERBB3	FER	protein array
ERBB3	FGFR1	protein array
ERBB3	FLNA	in vivo
ERBB3	FLYWCH1	in vitro
ERBB3	GRB2	in vivo
ERBB3	GRB7	protein array
ERBB3	HCK	protein array
ERBB3	HDAC6	ubiquitin reconstruction
ERBB3	IL6ST	in vivo
ERBB3	ITK	protein array
ERBB3	JAK2	protein array
ERBB3	JAK3	protein array
ERBB3	MUC1	in vivo
ERBB3	NCK1	protein array
ERBB3	NCK2	protein array
ERBB3	NRG1	comigration in non denaturing gel electrophoresis
ERBB3	NRG2	in vivo
ERBB3	ODF2L	two hybrid pooling approach|two hybrid
ERBB3	PA2G4	in vivo
ERBB3	PIK3CA	cross-linking study
ERBB3	PIK3R1	protein array
ERBB3	PIK3R2	protein array
ERBB3	PIK3R3	protein array
ERBB3	PLCG1	protein array
ERBB3	PTGES3	in vitro
ERBB3	PTK2	in vivo
ERBB3	PTK2B	in vitro
ERBB3	PTK6	in vivo
ERBB3	RASA1	protein array
ERBB3	RASA4	two hybrid
ERBB3	RGS4	in vivo
ERBB3	RIN1	protein array
ERBB3	RNF41	in vitro
ERBB3	SH2B3	protein array
ERBB3	SH2D1A	protein array
ERBB3	SHC1	protein array
ERBB3	SHC3	protein array
ERBB3	SOS1	in vivo
ERBB3	SRC	protein array
ERBB3	SYK	protein array
ERBB3	TENC1	protein array
ERBB3	TNS3	protein array
ERBB3	TNS4	protein array
ERBB3	TXK	protein array
ERBB3	VAV1	protein array
ERBB3	VAV2	protein array
ERBB3	VAV3	protein array
ERBB3	ZAP70	protein array
ERBB4	ERBB4	protein kinase assay
ERBB4	EREG	in vivo
ERBB4	GRB2	in vivo
ERBB4	GRIN1	in vitro
ERBB4	HBEGF	in vivo
ERBB4	HDAC6	ubiquitin reconstruction
ERBB4	ITCH	anti bait coimmunoprecipitation
ERBB4	MUC1	in vivo
ERBB4	NCK2	in vivo
ERBB4	NRG1	surface plasmon resonance
ERBB4	NRG2	in vivo
ERBB4	NRG3	in vitro
ERBB4	NRG4	in vitro
ERBB4	PIK3R2	pull down
ERBB4	PTPN11	pull down
ERBB4	RASA1	protein array
ERBB4	RNF41	in vivo
ERBB4	RPS27A	anti bait coimmunoprecipitation
ERBB4	SHC1	protein array
ERBB4	SNTB2	in vivo
ERBB4	STAT5A	in vitro
ERBB4	STAT5B	pull down
ERBB4	SYK	protein array
ERBB4	TGFA	in vivo
ERBB4	TRO	anti bait coimmunoprecipitation
ERBB4	WWOX	anti tag coimmunoprecipitation
ERBB4	YAP1	in vivo
ERC1	ERC1	in vitro
ERC1	IKBKB	enzymatic study
ERC1	IKBKG	biochemical
ERC1	ITSN2	two hybrid
ERC1	KBTBD7	affinity chromatography technology
ERC1	KIAA0101	affinity chromatography technology
ERC1	MAP3K7	enzymatic study
ERC1	NFKBIA	biochemical
ERC1	NR4A1	display technology
ERC1	PHB	display technology
ERC1	PPFIA1	in vitro
ERC1	RAB6A	pull down
ERC1	RAB6B	pull down
ERC1	RAD23A	enzymatic study
ERC1	RIMS1	in vitro
ERC1	SH3KBP1	affinity chromatography technology
ERC1	SMAD2	display technology
ERC1	TWF2	affinity chromatography technology
ERC1	UBC	affinity chromatography technology
ERC1	XIAP	enzymatic study
ERC1	YWHAG	coimmunoprecipitation
ERC2	ERC2	in vitro
ERC2	GIT1	two hybrid
ERC2	GRIP2	two hybrid
ERC2	MYB	display technology
ERC2	PCLO	affinity chromatography technology
ERC2	PPFIA1	two hybrid
ERC2	PPFIA2	two hybrid
ERC2	PPFIA3	two hybrid
ERC2	PPFIA4	in vitro
ERC2	RIMS1	affinity chromatography technology
ERC2	UNC13A	affinity chromatography technology
ERCC1	ERCC4	two hybrid
ERCC1	SLX4	anti tag coimmunoprecipitation
ERCC1	UBL7	two hybrid pooling approach|two hybrid
ERCC1	XPA	in vivo
ERCC2	ERCC3	affinity chromatography technology
ERCC2	ERCC5	coimmunoprecipitation
ERCC2	ERCC6	affinity chromatography technology
ERCC2	GTF2H1	in vivo
ERCC2	GTF2H2	in vivo
ERCC2	GTF2H4	in vivo
ERCC2	GTF2H5	x-ray crystallography
ERCC2	HERC5	affinity chromatography technology
ERCC2	ISG15	affinity chromatography technology
ERCC2	MNAT1	affinity chromatography technology
ERCC2	PIDD	affinity chromatography technology
ERCC2	RAD51	in vivo
ERCC2	RAD52	in vivo
ERCC2	TP53	pull down
ERCC2	TRIM25	affinity chromatography technology
ERCC2	UBC	affinity chromatography technology
ERCC2	WRN	affinity chromatography technology
ERCC3	ERCC5	enzymatic study
ERCC3	ERCC6	affinity chromatography technology
ERCC3	GCN1L1	enzymatic study
ERCC3	GTF2E1	pull down
ERCC3	GTF2E2	in vivo
ERCC3	GTF2H1	in vivo
